name,price,rating
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249.99,4.1
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",499.0,4.3
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.99,4.4
"SGIN Laptop Computer, 15.6 Inch Laptops with 12GB RAM 512GB SSD, Celeron N5095 Quad-Core(Up to 2.8GHz), 1920 * 1080P Notebook, 38Wh Battery, Mini HDMI, Webcam, USB 3.0, 5G WiFi, Type-C",259.99,4.3
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",329.99,4.3
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",225.0,4.1
"Laptop 12GB RAM 256GB SSD, 14"" FHD 1920x1080 Display, Quad Core Celeron J4105 CPU, Up to 2.5GHz, Protable Computer with Dual Speakers, 35.52WH Battery, HDMI, Type-C, USB, Business Student Laptops.",499.99,4.9
"jumper Laptop 17.3"", Laptops Computer with 24GB LPDDR4 512GB SSD, Celeron N5095 CPU(Up to 2.9GHz), Quad Core, FHD IPS 1920x1200 Display, 38WH Battery, Dual Speakers, 2.4G+5G WiFi, BT5.0, 16:10.",749.97,4.2
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",188.35,3.9
"ASUS 15.6” Vivobook Go Laptop, Intel Celeron N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",229.99,4.2
"Laptop Computer, 16GB LPDDR5 RAM Laptop 512GB NVMe SSD, Intel Quad-Core N100, 15.6 Inch 1080P IPS Display Windows 11 Pro Laptops, WiFi 6, BT 5.2, RJ45 Ethernet, Fingerprint, USB Type-C",328.99,4.4
"Laptop Computer, 16GB LPDDR5 RAM Laptop 512GB NVMe SSD, Intel Quad-Core N100, 15.6 Inch 1080P IPS Display Windows 11 Pro Laptops, WiFi 6, BT 5.2, RJ45 Ethernet, Fingerprint, USB Type-C",328.99,4.4
"15.6"" Laptop Computer, Gaming Laptop,16GB RAM 512GB SSD. Intel Celeron N5095 Processors(up to 2.9GHz),1920 * 1200 Display, USB 3.0, Bluetooth 4.2, Type-C, Mini-HDMI, 38000mWh Battery.",249.99,4.3
